service,year,quarter,yearQuarter,subscribers,
HBO,2019,4,2019-Q4,54.66,
HBO,2020,1,2020-Q1,53.84,
HBO,2020,2,2020-Q2,55.58,
HBO,2020,3,2020-Q3,56.89,
HBO,2020,4,2020-Q4,60.61,
HBO,2021,1,2021-Q1,63.92,
HBO,2021,2,2021-Q2,67.53,
HBO,2021,3,2021-Q3,69.41,
Netflix,2018,4,2018-Q4,139.259,
Netflix,2019,1,2019-Q1,148.863,
Netflix,2019,2,2019-Q2,151.562,
Netflix,2019,3,2019-Q3,158.334,
Netflix,2019,4,2019-Q4,167.09,
Netflix,2020,1,2020-Q1,182.856,
Netflix,2020,2,2020-Q2,192.947,
Netflix,2020,3,2020-Q3,195.151,
Netflix,2020,4,2020-Q4,203.663,
Netflix,2021,1,2021-Q1,207.639,
Netflix,2021,2,2021-Q2,209.18,
Netflix,2021,3,2021-Q3,213.563,
Disney+,2019,4,2019-Q4,26.5,
Disney+,2020,1,2020-Q1,33.5,
Disney+,2020,2,2020-Q2,57.5,
Disney+,2020,3,2020-Q3,73.7,
Disney+,2020,4,2020-Q4,94.9,
Disney+,2021,1,2021-Q1,103.6,
Disney+,2021,2,2021-Q2,116,
Disney+,2021,3,2021-Q3,118.1,
Hulu,2018,4,2018-Q4,22.8,
Hulu,2019,1,2019-Q1,25.2,
Hulu,2019,2,2019-Q2,27.9,
Hulu,2019,3,2019-Q3,28.5,
Hulu,2019,4,2019-Q4,30.4,
Hulu,2020,1,2020-Q1,32.1,
Hulu,2020,2,2020-Q2,35.5,
Hulu,2020,3,2020-Q3,36.6,
Hulu,2020,4,2020-Q4,39.4,
Hulu,2021,1,2021-Q1,41.6,
Hulu,2021,2,2021-Q2,42.8,
Hulu,2021,3,2021-Q3,43.8,
Prime,2018,3,2018-Q4,100,
Prime,2020,3,2020-Q3,150,
Prime,2021,3,2021-Q3,200,